"","Species","trName","position","justification","reference","notes"
"10","Castanopsis platyacantha","Castanopsis_platyacantha","*** UNKNOWN",NA,NA,NA
"16","Lithocarpus cleistocarpus var. cleistocarpus","Lithocarpus_cleistocarpus_var_cleistocarpus","= L. cleisocarpus",NA,NA,NA
"83","Quercus hypophaea","Quercus_hypophaea","*** UNKNOWN","allied in Menitski with both Q. poilanei and Q. championii, but those are not at all closely related. ",NA,"sect. cyclobalanopsis"
"153","Quercus tarokoensis","Quercus_tarokoensis","*** UNKNOWN","Unclear where it belongs; section Ilex fide Denk et al. 2017; le Hardy de Beaulieu and Lamant say section Quercus; Helardot allies it with section Cerris","http://oaks.of.the.world.free.fr/quercus_tarokoensis.htm",NA
